0,"execCode(h1, root): CVE-2021-30610",AND,0.1
1,"execCode(h2, root): CVE-2020-8516 CVE-2020-13933",AND,0
4,"execCode(h5, root): CVE-2021-21234 CVE-2021-37583",AND,0
12,"execCode(h13, root): CVE-2020-24614",AND,0
13,"execCode(h14, root): CVE-2019-0604",AND,0
14,"execCode(h15, root): CVE-2020-13934",AND,0
15,"execCode(h16, root): CVE-2021-28851",AND,0
16,"execCode(h17, root): CVE-2020-16893",AND,0
17,"execCode(h18, root): CVE-2020-16892 CVE-2020-25696",AND,0
19,"execCode(h20, root): CVE-2021-21898 CVE-2020-1234",AND,0
21,"execCode(h22, root): CVE-2020-15505 CVE-2020-8554",AND,0
