source_host,method,sparsity_rate,exact_match_rate,top3_accuracy,top5_accuracy,median_distance,mean_belief_true,n_withheld
h1,Last_Seen,0.2,0.1,0.0,0.0,51.5,0.0,2.0
h1,Last_Seen,0.4,0.15,0.0,0.0,4.0,0.0,4.0
h1,Last_Seen,0.6,0.1,0.0,0.0,6.5,0.0,6.0
h1,Last_Seen,0.8,0.025,0.0,0.0,8.0,0.0,8.0
h1,Most_Connected,0.2,0.0,0.0,0.0,2.5,0.0,2.0
h1,Most_Connected,0.4,0.0,0.0,0.0,2.0,0.0,4.0
h1,Most_Connected,0.6,0.0,0.0,0.0,2.0,0.0,6.0
h1,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,8.0
h1,Random,0.2,0.0,0.0,0.0,51.5,0.0,2.0
h1,Random,0.4,0.0,0.0,0.0,51.5,0.0,4.0
h1,Random,0.6,0.0,0.0,0.0,4.5,0.0,6.0
h1,Random,0.8,0.0,0.0,0.0,3.5,0.0,8.0
h1,Static_TAG,0.2,0.0,0.0,0.0,50.5,0.0047,2.0
h1,Static_TAG,0.4,0.0,0.0,0.0,1.0,0.0043,4.0
h1,Static_TAG,0.6,0.0,0.0,0.0,1.0,0.0057,6.0
h1,Static_TAG,0.8,0.0,0.0,0.0,1.0,0.0062,8.0
h1,TAG_Forward,0.2,0.1,0.1,0.1,4.5,0.0578,2.0
h1,TAG_Forward,0.4,0.1,0.15,0.15,4.0,0.0513,4.0
h1,TAG_Forward,0.6,0.1,0.1,0.1,4.0,0.031,6.0
h1,TAG_Forward,0.8,0.025,0.025,0.025,4.0,0.0093,8.0
h10,Last_Seen,0.2,0.0,0.0,0.0,1.0,0.0,1.0
h10,Last_Seen,0.4,0.0,0.0,0.0,3.0,0.0,2.0
h10,Last_Seen,0.6,0.0,0.0,0.0,1.5,0.0,4.0
h10,Last_Seen,0.8,0.12,0.0,0.0,1.0,0.0,5.0
h10,Most_Connected,0.2,0.0,0.0,0.0,2.0,0.0,1.0
h10,Most_Connected,0.4,0.0,0.0,0.0,3.0,0.0,2.0
h10,Most_Connected,0.6,0.0,0.0,0.0,1.5,0.0,4.0
h10,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,5.0
h10,Random,0.2,0.0,0.0,0.0,100.0,0.0,1.0
h10,Random,0.4,0.0,0.0,0.0,51.0,0.0,2.0
h10,Random,0.6,0.0,0.0,0.0,3.5,0.0,4.0
h10,Random,0.8,0.0,0.0,0.0,3.0,0.0,5.0
h10,Static_TAG,0.2,0.0,0.0,0.8,1.0,0.0502,1.0
h10,Static_TAG,0.4,0.0,0.0,0.3,50.5,0.025,2.0
h10,Static_TAG,0.6,0.0,0.0,0.25,2.5,0.0242,4.0
h10,Static_TAG,0.8,0.0,0.0,0.2,4.0,0.0209,5.0
h10,TAG_Forward,0.2,0.0,0.0,0.2,1.0,0.0318,1.0
h10,TAG_Forward,0.4,0.0,0.0,0.0,3.0,0.0152,2.0
h10,TAG_Forward,0.6,0.0,0.0,0.0,1.5,0.0176,4.0
h10,TAG_Forward,0.8,0.04,0.04,0.12,2.0,0.0312,5.0
h11,Last_Seen,0.2,0.2,0.0,0.0,2.0,0.0,5.0
h11,Last_Seen,0.4,0.1,0.0,0.0,2.0,0.0,10.0
h11,Last_Seen,0.6,0.15,0.0,0.0,2.0,0.0,16.0
h11,Last_Seen,0.8,0.0571,0.0,0.0,3.0,0.0,21.0
h11,Most_Connected,0.2,0.0,0.0,0.0,3.0,0.0,5.0
h11,Most_Connected,0.4,0.0,0.0,0.0,2.5,0.0,10.0
h11,Most_Connected,0.6,0.0,0.0,0.0,2.5,0.0,16.0
h11,Most_Connected,0.8,0.0,0.0,0.0,2.0,0.0,21.0
h11,Random,0.2,0.04,0.0,0.0,3.0,0.0,5.0
h11,Random,0.4,0.0,0.0,0.0,4.0,0.0,10.0
h11,Random,0.6,0.0,0.0,0.0,3.5,0.0,16.0
h11,Random,0.8,0.0,0.0,0.0,3.0,0.0,21.0
h11,Static_TAG,0.2,0.0,0.0,0.12,2.0,0.0063,5.0
h11,Static_TAG,0.4,0.04,0.06,0.18,1.5,0.0197,10.0
h11,Static_TAG,0.6,0.0875,0.125,0.1875,2.0,0.0189,16.0
h11,Static_TAG,0.8,0.1333,0.1333,0.1619,2.0,0.0163,21.0
h11,TAG_Forward,0.2,0.16,0.16,0.16,2.0,0.1012,5.0
h11,TAG_Forward,0.4,0.16,0.18,0.18,2.0,0.087,10.0
h11,TAG_Forward,0.6,0.1625,0.1625,0.1625,2.5,0.0713,16.0
h11,TAG_Forward,0.8,0.0381,0.0571,0.0952,2.0,0.0202,21.0
h12,Last_Seen,0.2,0.2,0.0,0.0,4.0,0.0,1.0
h12,Last_Seen,0.4,0.2667,0.0,0.0,4.0,0.0,3.0
h12,Last_Seen,0.6,0.28,0.0,0.0,2.0,0.0,5.0
h12,Last_Seen,0.8,0.0286,0.0,0.0,2.0,0.0,7.0
