source_host,sparsity_rate,trial,method,total_alerts,n_observed,n_withheld,exact_match_rate,top3_accuracy,top5_accuracy,median_distance,mean_belief_true
h1,0.2,0,TAG_Forward,52,42,10,0.2,0.3,0.3,20.5,0.04999
h1,0.2,0,Random,52,42,10,0.0,0.0,0.0,40.0,0.0
h1,0.2,0,Last_Seen,52,42,10,0.1,0.0,0.0,40.0,0.0
h1,0.2,0,Most_Connected,52,42,10,0.0,0.0,0.0,40.0,0.0
h1,0.2,0,Static_TAG,52,42,10,0.0,0.1,0.3,21.0,0.02369
h1,0.2,1,TAG_Forward,52,42,10,0.0,0.1,0.1,40.0,0.02203
h1,0.2,1,Random,52,42,10,0.0,0.0,0.0,40.0,0.0
h1,0.2,1,Last_Seen,52,42,10,0.1,0.0,0.0,40.0,0.0
h1,0.2,1,Most_Connected,52,42,10,0.0,0.0,0.0,40.0,0.0
h1,0.2,1,Static_TAG,52,42,10,0.0,0.3,0.4,40.0,0.01702
h1,0.2,2,TAG_Forward,52,42,10,0.2,0.3,0.3,40.0,0.04639
h1,0.2,2,Random,52,42,10,0.2,0.0,0.0,40.0,0.0
h1,0.2,2,Last_Seen,52,42,10,0.1,0.0,0.0,40.0,0.0
h1,0.2,2,Most_Connected,52,42,10,0.0,0.0,0.0,21.0,0.0
h1,0.2,2,Static_TAG,52,42,10,0.1,0.1,0.2,21.0,0.01742
h1,0.2,3,TAG_Forward,52,42,10,0.1,0.1,0.1,40.0,0.03634
h1,0.2,3,Random,52,42,10,0.0,0.0,0.0,40.0,0.0
h1,0.2,3,Last_Seen,52,42,10,0.2,0.0,0.0,40.0,0.0
h1,0.2,3,Most_Connected,52,42,10,0.0,0.0,0.0,40.0,0.0
h1,0.2,3,Static_TAG,52,42,10,0.1,0.1,0.2,40.0,0.02028
h1,0.2,4,TAG_Forward,52,42,10,0.0,0.0,0.0,40.0,0.01566
h1,0.2,4,Random,52,42,10,0.0,0.0,0.0,40.0,0.0
h1,0.2,4,Last_Seen,52,42,10,0.2,0.0,0.0,40.0,0.0
h1,0.2,4,Most_Connected,52,42,10,0.0,0.0,0.0,21.0,0.0
