baseline,total_pairs,tag_valid,tag_impossible,tag_ambiguous,correlated_predicted,false_corr_count,false_corr_rate_pct,missed_chain_count,missed_chain_rate_pct,precision,recall,f1_score,false_corr_rate_ci_low_pct,false_corr_rate_ci_high_pct,missed_chain_rate_ci_low_pct,missed_chain_rate_ci_high_pct,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_score_ci_low,f1_score_ci_high
time_15min,42,2,36,4,31,26,83.9,0,0.0,0.065,1.0,0.121,70.293,94.3,0.0,0.0,0.0,0.167,0.0,1.0,0.0,0.286
time_30min,42,2,36,4,31,26,83.9,0,0.0,0.065,1.0,0.121,70.293,94.3,0.0,0.0,0.0,0.167,0.0,1.0,0.0,0.286
time_60min,42,2,36,4,36,30,83.3,0,0.0,0.056,1.0,0.105,71.393,94.3,0.0,0.0,0.0,0.143,0.0,1.0,0.0,0.25
time_120min,42,2,36,4,41,35,85.4,0,0.0,0.049,1.0,0.093,74.4,95.1,0.0,0.0,0.0,0.122,0.0,1.0,0.0,0.217
same_window,42,2,36,4,31,26,83.9,0,0.0,0.065,1.0,0.121,70.293,94.3,0.0,0.0,0.0,0.167,0.0,1.0,0.0,0.286
severity_gte_LOW,42,2,36,4,42,36,85.7,0,0.0,0.048,1.0,0.091,76.2,95.2,0.0,0.0,0.0,0.119,0.0,1.0,0.0,0.213
severity_gte_MEDIUM,42,2,36,4,35,31,88.6,0,0.0,0.057,1.0,0.108,76.895,97.203,0.0,0.0,0.0,0.143,0.0,1.0,0.0,0.25
severity_gte_HIGH,42,2,36,4,19,17,89.5,0,0.0,0.105,1.0,0.19,73.3,100.0,0.0,0.0,0.0,0.267,0.0,1.0,0.0,0.421
severity_gte_CRITICAL,42,2,36,4,1,1,100.0,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
static_tag_snapshot,42,2,36,4,42,36,85.7,0,0.0,0.048,1.0,0.091,76.2,95.2,0.0,0.0,0.0,0.119,0.0,1.0,0.0,0.213
