window,node_id,host,alerted,on_valid_path,status
T1,1,h2,True,True,MONITORED
T1,2,h3,True,True,MONITORED
T1,4,h5,True,True,MONITORED
T2,0,h1,True,True,MONITORED
T2,1,h2,False,True,PATH_CRITICAL_BLIND_SPOT
T2,2,h3,False,True,PATH_CRITICAL_BLIND_SPOT
T2,3,h4,True,True,MONITORED
T2,4,h5,False,True,PATH_CRITICAL_BLIND_SPOT
T2,5,h6,True,True,MONITORED
T2,6,h7,True,True,MONITORED
T2,7,h8,True,True,MONITORED
T3,0,h1,False,True,PATH_CRITICAL_BLIND_SPOT
T3,1,h2,False,True,PATH_CRITICAL_BLIND_SPOT
T3,2,h3,False,True,PATH_CRITICAL_BLIND_SPOT
T3,3,h4,False,True,PATH_CRITICAL_BLIND_SPOT
T3,6,h7,False,True,PATH_CRITICAL_BLIND_SPOT
T3,7,h8,False,True,PATH_CRITICAL_BLIND_SPOT
T3,9,h10,True,True,MONITORED
T4,6,h7,False,True,PATH_CRITICAL_BLIND_SPOT
T4,7,h8,False,True,PATH_CRITICAL_BLIND_SPOT
T4,8,h9,True,True,MONITORED
T4,9,h10,False,True,PATH_CRITICAL_BLIND_SPOT
