host,total_cves,max_persistence_span,avg_persistence_span,max_streak,total_exposure_score,critical_cve_count,node_id,path_critical,node_windows,avg_degree,max_degree,risk_tier
h3,2,4,4.0,4,7.0,1,2,1,4,4.5,5,CRITICAL_CHRONIC
h10,2,3,3.0,2,5.25,1,9,1,3,2.333,3,CRITICAL_CHRONIC
h18,2,3,3.0,3,4.5,1,17,1,3,3.667,5,CRITICAL_CHRONIC
h20,1,4,4.0,4,4.0,1,19,1,4,0.75,1,CRITICAL_CHRONIC
h4,2,3,3.0,3,3.75,0,3,1,3,3.333,4,HIGH_CHRONIC
h11,2,2,2.0,1,3.5,1,10,1,2,2.0,3,CRITICAL_CHRONIC
h14,2,2,2.0,1,3.5,1,13,1,2,3.5,5,CRITICAL_CHRONIC
h19,2,2,2.0,1,3.5,1,18,1,2,3.0,5,CRITICAL_CHRONIC
h15,2,2,2.0,2,3.0,0,14,1,2,2.5,5,HIGH_CHRONIC
h2,1,4,4.0,4,3.0,0,1,1,4,4.75,5,HIGH_CHRONIC
h7,2,2,2.0,1,2.5,0,6,1,2,2.5,3,HIGH_CHRONIC
h12,1,3,3.0,2,2.25,0,11,1,3,1.0,1,HIGH_CHRONIC
h5,1,3,3.0,2,2.25,0,4,1,3,3.667,5,HIGH_CHRONIC
h13,1,2,2.0,2,1.5,0,12,1,2,3.0,5,HIGH_CHRONIC
