node_id,host,in_optimal_set,currently_monitored,status,paths_through_node
0,h1,False,True,EXCESS_MONITORING,476
1,h2,True,True,OPTIMAL_AND_MONITORED,1424
2,h3,True,True,OPTIMAL_AND_MONITORED,19
3,h4,True,False,COVERAGE_GAP,709
4,h5,True,True,OPTIMAL_AND_MONITORED,1075
5,h6,True,False,COVERAGE_GAP,345
6,h7,True,True,OPTIMAL_AND_MONITORED,168
7,h8,True,True,OPTIMAL_AND_MONITORED,878
8,h9,True,True,OPTIMAL_AND_MONITORED,454
9,h10,True,True,OPTIMAL_AND_MONITORED,1262
10,h11,True,False,COVERAGE_GAP,26
11,h12,True,True,OPTIMAL_AND_MONITORED,814
12,h13,False,True,EXCESS_MONITORING,636
13,h14,True,True,OPTIMAL_AND_MONITORED,232
14,h15,True,False,COVERAGE_GAP,226
15,h16,True,True,OPTIMAL_AND_MONITORED,808
16,h17,True,True,OPTIMAL_AND_MONITORED,1781
17,h18,True,True,OPTIMAL_AND_MONITORED,1281
18,h19,True,True,OPTIMAL_AND_MONITORED,1606
19,h20,True,True,OPTIMAL_AND_MONITORED,2195
20,h21,True,True,OPTIMAL_AND_MONITORED,3183
21,h22,True,False,COVERAGE_GAP,5379
22,h23,True,False,COVERAGE_GAP,1604
23,h24,True,False,COVERAGE_GAP,442
24,h25,True,True,OPTIMAL_AND_MONITORED,3814
25,h26,True,True,OPTIMAL_AND_MONITORED,8539
26,h27,False,False,NOT_NEEDED,8
27,h28,False,True,EXCESS_MONITORING,410
28,h29,True,True,OPTIMAL_AND_MONITORED,2120
29,h30,True,True,OPTIMAL_AND_MONITORED,3272
30,h31,True,True,OPTIMAL_AND_MONITORED,1470
31,h32,True,True,OPTIMAL_AND_MONITORED,74
32,h33,True,True,OPTIMAL_AND_MONITORED,659
33,h34,True,True,OPTIMAL_AND_MONITORED,2783
34,h35,False,True,EXCESS_MONITORING,40
35,h36,True,False,COVERAGE_GAP,1827
36,h37,False,True,EXCESS_MONITORING,1825
37,h38,False,True,EXCESS_MONITORING,32
38,h39,False,True,EXCESS_MONITORING,170
39,h40,True,True,OPTIMAL_AND_MONITORED,231
40,h41,False,False,NOT_NEEDED,1522
41,h42,False,True,EXCESS_MONITORING,14
42,h43,True,True,OPTIMAL_AND_MONITORED,870
43,h44,False,False,NOT_NEEDED,1216
44,h45,False,False,NOT_NEEDED,14
45,h46,True,True,OPTIMAL_AND_MONITORED,851
46,h47,False,False,NOT_NEEDED,244
47,h48,False,False,NOT_NEEDED,170
48,h49,False,True,EXCESS_MONITORING,51
49,h50,False,True,EXCESS_MONITORING,33
50,h51,False,False,NOT_NEEDED,33
51,h52,False,True,EXCESS_MONITORING,4
52,h53,True,True,OPTIMAL_AND_MONITORED,659
53,h54,False,True,EXCESS_MONITORING,1983
54,h55,False,False,NOT_NEEDED,533
55,h56,False,False,NOT_NEEDED,14
56,h57,False,True,EXCESS_MONITORING,14
57,h58,False,True,EXCESS_MONITORING,7
58,h59,False,False,NOT_NEEDED,21
59,h60,False,True,EXCESS_MONITORING,1696
60,h61,True,True,OPTIMAL_AND_MONITORED,1883
61,h62,False,True,EXCESS_MONITORING,43
62,h63,False,True,EXCESS_MONITORING,418
63,h64,False,False,NOT_NEEDED,51
64,h65,False,True,EXCESS_MONITORING,1418
65,h66,False,False,NOT_NEEDED,22
66,h67,False,True,EXCESS_MONITORING,626
67,h68,False,False,NOT_NEEDED,776
68,h69,False,False,NOT_NEEDED,51
69,h70,False,True,EXCESS_MONITORING,14
70,h71,False,True,EXCESS_MONITORING,635
71,h72,False,False,NOT_NEEDED,11
72,h73,False,False,NOT_NEEDED,440
73,h74,False,False,NOT_NEEDED,14
74,h75,False,True,EXCESS_MONITORING,717
75,h76,False,False,NOT_NEEDED,472
76,h77,False,True,EXCESS_MONITORING,25
77,h78,False,False,NOT_NEEDED,479
78,h79,False,False,NOT_NEEDED,11
79,h80,False,False,NOT_NEEDED,14
80,h81,False,False,NOT_NEEDED,11
81,h82,False,True,EXCESS_MONITORING,495
82,h83,False,True,EXCESS_MONITORING,50
83,h84,False,False,NOT_NEEDED,1308
84,h85,False,True,EXCESS_MONITORING,33
85,h86,False,True,EXCESS_MONITORING,31
86,h87,False,True,EXCESS_MONITORING,378
87,h88,False,True,EXCESS_MONITORING,525
88,h89,False,True,EXCESS_MONITORING,546
89,h90,True,True,OPTIMAL_AND_MONITORED,1392
90,h91,False,True,EXCESS_MONITORING,786
91,h92,False,True,EXCESS_MONITORING,23
92,h93,False,False,NOT_NEEDED,675
93,h94,False,True,EXCESS_MONITORING,501
94,h95,False,True,EXCESS_MONITORING,675
95,h96,False,True,EXCESS_MONITORING,83
96,h97,True,True,OPTIMAL_AND_MONITORED,590
97,h98,False,True,EXCESS_MONITORING,12
98,h99,False,False,NOT_NEEDED,9
99,h100,False,True,EXCESS_MONITORING,29
