host,cve_id,severity,window,phase,pub_window_num,exploit_window_num,patch_window_num,danger_span,patched_in_sim
h1,CVE-2020-12625,HIGH,T1,PUBLISHED,1,3,6,2,False
h1,CVE-2020-12625,HIGH,T2,PUBLISHED,1,3,6,2,False
h1,CVE-2020-12625,HIGH,T3,EXPLOIT_AVAILABLE,1,3,6,2,False
h1,CVE-2020-12625,HIGH,T4,EXPLOIT_AVAILABLE,1,3,6,2,False
h1,CVE-2020-1234,HIGH,T1,EXPLOIT_AVAILABLE,0,0,3,2,True
h1,CVE-2020-1234,HIGH,T2,EXPLOIT_AVAILABLE,0,0,3,2,True
h1,CVE-2020-1234,HIGH,T3,PATCHED,0,0,3,2,True
h1,CVE-2020-1234,HIGH,T4,PATCHED,0,0,3,2,True
h10,CVE-2021-41773,CRITICAL,T1,PATCHED,0,0,1,0,True
h10,CVE-2021-41773,CRITICAL,T2,PATCHED,0,0,1,0,True
h10,CVE-2021-41773,CRITICAL,T3,PATCHED,0,0,1,0,True
h10,CVE-2021-41773,CRITICAL,T4,PATCHED,0,0,1,0,True
h10,CVE-2021-21224,HIGH,T1,PUBLISHED,1,2,4,2,True
h10,CVE-2021-21224,HIGH,T2,EXPLOIT_AVAILABLE,1,2,4,2,True
h10,CVE-2021-21224,HIGH,T3,EXPLOIT_AVAILABLE,1,2,4,2,True
h10,CVE-2021-21224,HIGH,T4,PATCHED,1,2,4,2,True
h11,CVE-2021-20226,HIGH,T1,EXPLOIT_AVAILABLE,0,1,4,3,True
h11,CVE-2021-20226,HIGH,T2,EXPLOIT_AVAILABLE,0,1,4,3,True
h11,CVE-2021-20226,HIGH,T3,EXPLOIT_AVAILABLE,0,1,4,3,True
h11,CVE-2021-20226,HIGH,T4,PATCHED,0,1,4,3,True
h11,CVE-2020-12624,CRITICAL,T1,EXPLOIT_AVAILABLE,1,1,3,2,True
h11,CVE-2020-12624,CRITICAL,T2,EXPLOIT_AVAILABLE,1,1,3,2,True
h11,CVE-2020-12624,CRITICAL,T3,PATCHED,1,1,3,2,True
h11,CVE-2020-12624,CRITICAL,T4,PATCHED,1,1,3,2,True
h12,CVE-2020-9614,CRITICAL,T1,EXPLOIT_AVAILABLE,1,1,2,1,True
h12,CVE-2020-9614,CRITICAL,T2,PATCHED,1,1,2,1,True
h12,CVE-2020-9614,CRITICAL,T3,PATCHED,1,1,2,1,True
h12,CVE-2020-9614,CRITICAL,T4,PATCHED,1,1,2,1,True
h12,CVE-2021-32075,HIGH,T1,UNPUBLISHED,2,2,4,2,True
h12,CVE-2021-32075,HIGH,T2,EXPLOIT_AVAILABLE,2,2,4,2,True
h12,CVE-2021-32075,HIGH,T3,EXPLOIT_AVAILABLE,2,2,4,2,True
h12,CVE-2021-32075,HIGH,T4,PATCHED,2,2,4,2,True
h13,CVE-2020-16898,CRITICAL,T1,PATCHED,0,0,1,0,True
h13,CVE-2020-16898,CRITICAL,T2,PATCHED,0,0,1,0,True
h13,CVE-2020-16898,CRITICAL,T3,PATCHED,0,0,1,0,True
h13,CVE-2020-16898,CRITICAL,T4,PATCHED,0,0,1,0,True
h13,CVE-2020-11990,CRITICAL,T1,PUBLISHED,1,2,4,2,True
h13,CVE-2020-11990,CRITICAL,T2,EXPLOIT_AVAILABLE,1,2,4,2,True
h13,CVE-2020-11990,CRITICAL,T3,EXPLOIT_AVAILABLE,1,2,4,2,True
h13,CVE-2020-11990,CRITICAL,T4,PATCHED,1,2,4,2,True
h14,CVE-2021-23840,HIGH,T1,UNPUBLISHED,2,4,6,1,False
h14,CVE-2021-23840,HIGH,T2,PUBLISHED,2,4,6,1,False
h14,CVE-2021-23840,HIGH,T3,PUBLISHED,2,4,6,1,False
h14,CVE-2021-23840,HIGH,T4,EXPLOIT_AVAILABLE,2,4,6,1,False
h15,CVE-2020-5411,HIGH,T1,EXPLOIT_AVAILABLE,1,1,4,3,True
h15,CVE-2020-5411,HIGH,T2,EXPLOIT_AVAILABLE,1,1,4,3,True
h15,CVE-2020-5411,HIGH,T3,EXPLOIT_AVAILABLE,1,1,4,3,True
h15,CVE-2020-5411,HIGH,T4,PATCHED,1,1,4,3,True
h16,CVE-2020-13934,MEDIUM,T1,UNPUBLISHED,3,4,8,1,False
h16,CVE-2020-13934,MEDIUM,T2,UNPUBLISHED,3,4,8,1,False
h16,CVE-2020-13934,MEDIUM,T3,PUBLISHED,3,4,8,1,False
h16,CVE-2020-13934,MEDIUM,T4,EXPLOIT_AVAILABLE,3,4,8,1,False
h16,CVE-2021-20294,HIGH,T1,UNPUBLISHED,2,2,5,3,False
h16,CVE-2021-20294,HIGH,T2,EXPLOIT_AVAILABLE,2,2,5,3,False
h16,CVE-2021-20294,HIGH,T3,EXPLOIT_AVAILABLE,2,2,5,3,False
h16,CVE-2021-20294,HIGH,T4,EXPLOIT_AVAILABLE,2,2,5,3,False
h17,CVE-2021-28851,HIGH,T1,UNPUBLISHED,2,4,6,1,False
h17,CVE-2021-28851,HIGH,T2,PUBLISHED,2,4,6,1,False
h17,CVE-2021-28851,HIGH,T3,PUBLISHED,2,4,6,1,False
h17,CVE-2021-28851,HIGH,T4,EXPLOIT_AVAILABLE,2,4,6,1,False
h18,CVE-2021-3129,HIGH,T1,EXPLOIT_AVAILABLE,0,1,4,3,True
h18,CVE-2021-3129,HIGH,T2,EXPLOIT_AVAILABLE,0,1,4,3,True
h18,CVE-2021-3129,HIGH,T3,EXPLOIT_AVAILABLE,0,1,4,3,True
h18,CVE-2021-3129,HIGH,T4,PATCHED,0,1,4,3,True
h18,CVE-2021-3129,HIGH,T1,EXPLOIT_AVAILABLE,0,1,4,3,True
h18,CVE-2021-3129,HIGH,T2,EXPLOIT_AVAILABLE,0,1,4,3,True
h18,CVE-2021-3129,HIGH,T3,EXPLOIT_AVAILABLE,0,1,4,3,True
h18,CVE-2021-3129,HIGH,T4,PATCHED,0,1,4,3,True
h19,CVE-2021-28341,CRITICAL,T1,PUBLISHED,1,2,3,1,True
h19,CVE-2021-28341,CRITICAL,T2,EXPLOIT_AVAILABLE,1,2,3,1,True
h19,CVE-2021-28341,CRITICAL,T3,PATCHED,1,2,3,1,True
h19,CVE-2021-28341,CRITICAL,T4,PATCHED,1,2,3,1,True
h2,CVE-2021-3129,HIGH,T1,EXPLOIT_AVAILABLE,1,1,4,3,True
h2,CVE-2021-3129,HIGH,T2,EXPLOIT_AVAILABLE,1,1,4,3,True
h2,CVE-2021-3129,HIGH,T3,EXPLOIT_AVAILABLE,1,1,4,3,True
h2,CVE-2021-3129,HIGH,T4,PATCHED,1,1,4,3,True
h20,CVE-2021-24497,MEDIUM,T1,UNPUBLISHED,3,4,8,1,False
h20,CVE-2021-24497,MEDIUM,T2,UNPUBLISHED,3,4,8,1,False
h20,CVE-2021-24497,MEDIUM,T3,PUBLISHED,3,4,8,1,False
h20,CVE-2021-24497,MEDIUM,T4,EXPLOIT_AVAILABLE,3,4,8,1,False
h20,CVE-2020-27239,CRITICAL,T1,EXPLOIT_AVAILABLE,1,1,2,1,True
