host,cve_id,severity,severity_weight,presence_windows,persistence_span,persistence_streak,first_window,last_window,exposure_score,total_windows,persistence_ratio
h1,CVE-2020-11989,CRITICAL,1.0,T3,1,1,T3,T3,1.0,4,0.25
h1,CVE-2020-14145,MEDIUM,0.5,T3,1,1,T3,T3,0.5,4,0.25
h10,CVE-2021-32075,HIGH,0.75,T4,1,1,T4,T4,0.75,4,0.25
h11,CVE-2021-27065,CRITICAL,1.0,T4,1,1,T4,T4,1.0,4,0.25
h12,CVE-2020-8554,CRITICAL,1.0,"T2,T3",2,2,T2,T3,2.0,4,0.5
h12,CVE-2020-15505,CRITICAL,1.0,"T2,T3",2,2,T2,T3,2.0,4,0.5
h13,CVE-2020-27238,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h13,CVE-2020-12624,CRITICAL,1.0,T2,1,1,T2,T2,1.0,4,0.25
h14,CVE-2021-24514,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h14,CVE-2021-23840,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h15,CVE-2020-13934,MEDIUM,0.5,T3,1,1,T3,T3,0.5,4,0.25
h15,CVE-2021-30130,HIGH,0.75,T3,1,1,T3,T3,0.75,4,0.25
h16,CVE-2020-16893,HIGH,0.75,T3,1,1,T3,T3,0.75,4,0.25
h17,CVE-2021-45046,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h18,CVE-2020-16893,HIGH,0.75,T3,1,1,T3,T3,0.75,4,0.25
h18,CVE-2021-1234,MEDIUM,0.5,T3,1,1,T3,T3,0.5,4,0.25
h19,CVE-2021-40347,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h19,CVE-2021-34483,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h2,CVE-2021-37582,HIGH,0.75,T1,1,1,T1,T1,0.75,4,0.25
h20,CVE-2020-1234,HIGH,0.75,T4,1,1,T4,T4,0.75,4,0.25
h21,CVE-2021-30609,CRITICAL,1.0,"T1,T2",2,2,T1,T2,2.0,4,0.5
h22,CVE-2021-20294,HIGH,0.75,T4,1,1,T4,T4,0.75,4,0.25
h23,CVE-2021-45046,HIGH,0.75,"T1,T2",2,2,T1,T2,1.5,4,0.5
h24,CVE-2021-20226,HIGH,0.75,"T1,T2",2,2,T1,T2,1.5,4,0.5
h24,CVE-2020-8558,HIGH,0.75,"T1,T2",2,2,T1,T2,1.5,4,0.5
h25,CVE-2021-28169,CRITICAL,1.0,T3,1,1,T3,T3,1.0,4,0.25
h26,CVE-2020-14144,HIGH,0.75,T4,1,1,T4,T4,0.75,4,0.25
h27,CVE-2020-14144,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h28,CVE-2020-25695,HIGH,0.75,"T1,T2",2,2,T1,T2,1.5,4,0.5
h29,CVE-2021-37582,HIGH,0.75,T3,1,1,T3,T3,0.75,4,0.25
h29,CVE-2021-23841,MEDIUM,0.5,T3,1,1,T3,T3,0.5,4,0.25
h3,CVE-2021-28851,HIGH,0.75,T1,1,1,T1,T1,0.75,4,0.25
h3,CVE-2021-20295,HIGH,0.75,T1,1,1,T1,T1,0.75,4,0.25
h30,CVE-2021-30130,HIGH,0.75,T4,1,1,T4,T4,0.75,4,0.25
h30,CVE-2020-14644,CRITICAL,1.0,T4,1,1,T4,T4,1.0,4,0.25
h31,CVE-2020-13934,MEDIUM,0.5,T3,1,1,T3,T3,0.5,4,0.25
h32,CVE-2020-12625,HIGH,0.75,"T1,T2",2,2,T1,T2,1.5,4,0.5
h32,CVE-2020-12624,CRITICAL,1.0,"T1,T2",2,2,T1,T2,2.0,4,0.5
h33,CVE-2021-28149,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h34,CVE-2021-20295,HIGH,0.75,T3,1,1,T3,T3,0.75,4,0.25
h34,CVE-2020-27238,HIGH,0.75,T3,1,1,T3,T3,0.75,4,0.25
h35,CVE-2021-24410,MEDIUM,0.5,T4,1,1,T4,T4,0.5,4,0.25
h35,CVE-2020-26139,MEDIUM,0.5,T4,1,1,T4,T4,0.5,4,0.25
h4,CVE-2021-30609,CRITICAL,1.0,T3,1,1,T3,T3,1.0,4,0.25
h4,CVE-2021-21224,HIGH,0.75,T3,1,1,T3,T3,0.75,4,0.25
h5,CVE-2020-16898,CRITICAL,1.0,"T2,T3",2,2,T2,T3,2.0,4,0.5
h6,CVE-2021-24512,HIGH,0.75,T1,1,1,T1,T1,0.75,4,0.25
h7,CVE-2020-1235,CRITICAL,1.0,T1,1,1,T1,T1,1.0,4,0.25
h8,CVE-2021-22569,HIGH,0.75,T2,1,1,T2,T2,0.75,4,0.25
h9,CVE-2020-11990,CRITICAL,1.0,T4,1,1,T4,T4,1.0,4,0.25
h9,CVE-2020-16893,HIGH,0.75,T4,1,1,T4,T4,0.75,4,0.25
