host,window_prev,window_next,transition
h15,T1,T2,PERSISTED
h16,T1,T2,PERSISTED
h20,T1,T2,PERSISTED
h23,T1,T2,EMERGED
h53,T1,T2,RESOLVED
h58,T1,T2,EMERGED
h60,T1,T2,EMERGED
h66,T1,T2,RESOLVED
h70,T1,T2,RESOLVED
h74,T1,T2,RESOLVED
h75,T1,T2,EMERGED
h80,T1,T2,PERSISTED
h88,T1,T2,RESOLVED
h89,T1,T2,RESOLVED
h100,T2,T3,EMERGED
h15,T2,T3,PERSISTED
h16,T2,T3,RESOLVED
h19,T2,T3,RESOLVED
h21,T2,T3,RESOLVED
h23,T2,T3,PERSISTED
h27,T2,T3,PERSISTED
h38,T2,T3,PERSISTED
h44,T2,T3,RESOLVED
h51,T2,T3,EMERGED
h59,T2,T3,EMERGED
h6,T2,T3,RESOLVED
h64,T2,T3,PERSISTED
h77,T2,T3,PERSISTED
h79,T2,T3,EMERGED
h84,T2,T3,RESOLVED
h90,T2,T3,EMERGED
h94,T2,T3,EMERGED
h13,T3,T4,PERSISTED
h14,T3,T4,PERSISTED
h19,T3,T4,EMERGED
h23,T3,T4,RESOLVED
h24,T3,T4,EMERGED
h27,T3,T4,PERSISTED
h32,T3,T4,RESOLVED
h40,T3,T4,PERSISTED
h5,T3,T4,RESOLVED
h54,T3,T4,EMERGED
h65,T3,T4,RESOLVED
h81,T3,T4,PERSISTED
h94,T3,T4,PERSISTED
h98,T3,T4,EMERGED
