host,cve_id,severity,pub_window,exploit_window,patch_window,pre_exploit_gap,danger_span_in_sim,patched_in_sim,lifecycle_category,severity_weight,weighted_danger
h1,CVE-2021-33910,CRITICAL,1,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
h1,CVE-2021-34483,MEDIUM,2,4,7,2,1,False,EXPLOITED_UNPATCHED,0.5,0.5
h10,CVE-2021-3130,HIGH,0,1,4,0,3,True,FULL_LIFECYCLE,0.75,2.25
h11,CVE-2020-24614,HIGH,1,2,5,1,3,False,EXPLOITED_UNPATCHED,0.75,2.25
h11,CVE-2021-30132,HIGH,0,2,5,1,3,False,EXPLOITED_UNPATCHED,0.75,2.25
h12,CVE-2020-5410,CRITICAL,1,2,4,1,2,True,FULL_LIFECYCLE,1.0,2.0
h12,CVE-2021-26851,CRITICAL,1,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
h13,CVE-2021-24498,MEDIUM,1,2,5,1,3,False,EXPLOITED_UNPATCHED,0.5,1.5
h14,CVE-2021-23840,HIGH,0,1,4,0,3,True,FULL_LIFECYCLE,0.75,2.25
h15,CVE-2021-20226,HIGH,1,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h15,CVE-2021-20295,HIGH,2,3,6,1,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h16,CVE-2021-20294,HIGH,1,3,6,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h17,CVE-2020-9615,HIGH,0,1,4,0,3,True,FULL_LIFECYCLE,0.75,2.25
h17,CVE-2021-33910,CRITICAL,0,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
h18,CVE-2020-1938,CRITICAL,0,0,1,0,0,True,FULL_LIFECYCLE,1.0,0.0
h19,CVE-2021-26852,HIGH,1,3,5,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h2,CVE-2021-20294,HIGH,1,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h20,CVE-2020-9614,CRITICAL,0,0,1,0,0,True,FULL_LIFECYCLE,1.0,0.0
h21,CVE-2021-22570,HIGH,0,1,4,0,3,True,FULL_LIFECYCLE,0.75,2.25
h22,CVE-2020-11990,CRITICAL,1,2,4,1,2,True,FULL_LIFECYCLE,1.0,2.0
h22,CVE-2021-31166,HIGH,0,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h23,CVE-2020-14645,CRITICAL,1,2,3,1,1,True,FULL_LIFECYCLE,1.0,1.0
h23,CVE-2020-8554,CRITICAL,0,0,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h24,CVE-2020-1234,HIGH,2,2,4,0,2,True,FULL_LIFECYCLE,0.75,1.5
h24,CVE-2021-45046,HIGH,0,2,5,1,3,False,EXPLOITED_UNPATCHED,0.75,2.25
h25,CVE-2021-40346,HIGH,1,3,5,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h26,CVE-2020-27238,HIGH,1,3,6,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h26,CVE-2021-32075,HIGH,1,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h27,CVE-2020-1470,CRITICAL,1,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
h28,CVE-2020-16000,HIGH,1,2,5,1,3,False,EXPLOITED_UNPATCHED,0.75,2.25
h29,CVE-2021-27067,CRITICAL,0,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h29,CVE-2021-41773,CRITICAL,0,0,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h3,CVE-2020-12625,HIGH,1,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h3,CVE-2021-20225,CRITICAL,0,0,1,0,0,True,FULL_LIFECYCLE,1.0,0.0
h30,CVE-2020-1235,CRITICAL,1,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
h31,CVE-2020-26139,HIGH,0,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h32,CVE-2021-27068,HIGH,1,3,6,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h33,CVE-2021-21224,HIGH,1,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h33,CVE-2021-44228,CRITICAL,1,2,4,1,2,True,FULL_LIFECYCLE,1.0,2.0
h34,CVE-2020-8555,HIGH,1,3,5,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h35,CVE-2020-8517,CRITICAL,0,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h36,CVE-2021-28850,HIGH,0,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h37,CVE-2021-28156,HIGH,2,3,6,1,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h37,CVE-2021-34483,MEDIUM,3,4,8,1,1,False,EXPLOITED_UNPATCHED,0.5,0.5
h38,CVE-2021-24515,HIGH,1,3,6,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h38,CVE-2021-40347,MEDIUM,3,5,8,2,0,False,NEVER_EXPLOITED,0.5,0.0
h39,CVE-2021-26851,CRITICAL,0,0,1,0,0,True,FULL_LIFECYCLE,1.0,0.0
h4,CVE-2020-27240,HIGH,2,3,5,1,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h40,CVE-2021-3129,HIGH,1,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h41,CVE-2021-22570,HIGH,0,2,5,1,3,False,EXPLOITED_UNPATCHED,0.75,2.25
h42,CVE-2021-22570,HIGH,1,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h43,CVE-2020-13934,MEDIUM,3,5,7,2,0,False,NEVER_EXPLOITED,0.5,0.0
h43,CVE-2021-26851,CRITICAL,0,0,1,0,0,True,FULL_LIFECYCLE,1.0,0.0
h44,CVE-2021-30132,HIGH,1,3,5,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h45,CVE-2020-9614,CRITICAL,1,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h46,CVE-2020-27239,CRITICAL,1,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
h47,CVE-2018-4939,CRITICAL,0,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
