from_window,to_window,node_id,host,transition,cause
T1,T2,64,h65,BECAME_REACHABLE,TOPOLOGY_CHANGE
T1,T2,65,h66,BECAME_REACHABLE,TOPOLOGY_CHANGE
T1,T2,6,h7,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,40,h41,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,9,h10,BECAME_REACHABLE,TOPOLOGY_CHANGE
T1,T2,10,h11,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,11,h12,BECAME_REACHABLE,TOPOLOGY_CHANGE
T1,T2,13,h14,BECAME_REACHABLE,TOPOLOGY_CHANGE
T1,T2,14,h15,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,50,h51,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,53,h54,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,55,h56,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,23,h24,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,62,h63,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,59,h60,BECAME_REACHABLE,TOPOLOGY_CHANGE
T1,T2,61,h62,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,30,h31,BECAME_REACHABLE,NEW_EXPLOIT
T1,T2,66,node_66,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,67,node_67,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,4,node_4,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,68,node_68,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,39,node_39,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,41,node_41,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,60,node_60,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,49,h50,BECAME_UNREACHABLE,PATCHED
T1,T2,56,node_56,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,28,node_28,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T1,T2,29,node_29,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,69,h70,BECAME_REACHABLE,NEW_EXPLOIT
T2,T3,12,h13,BECAME_REACHABLE,TOPOLOGY_CHANGE
T2,T3,15,h16,BECAME_REACHABLE,NEW_EXPLOIT
T2,T3,18,h19,BECAME_REACHABLE,NEW_EXPLOIT
T2,T3,54,h55,BECAME_REACHABLE,TOPOLOGY_CHANGE
T2,T3,24,h25,BECAME_REACHABLE,NEW_EXPLOIT
T2,T3,57,h58,BECAME_REACHABLE,TOPOLOGY_CHANGE
T2,T3,56,h57,BECAME_REACHABLE,TOPOLOGY_CHANGE
T2,T3,27,h28,BECAME_REACHABLE,TOPOLOGY_CHANGE
T2,T3,32,node_32,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,6,node_6,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,40,h41,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,10,node_10,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,11,node_11,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,13,node_13,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,45,h46,BECAME_UNREACHABLE,PATCHED
T2,T3,46,h47,BECAME_UNREACHABLE,PATCHED
T2,T3,16,node_16,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,52,node_52,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,22,node_22,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,55,node_55,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,62,node_62,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,59,node_59,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T2,T3,61,h62,BECAME_UNREACHABLE,PATCHED
T2,T3,30,node_30,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T3,T4,0,h1,BECAME_REACHABLE,NEW_EXPLOIT
T3,T4,33,h34,BECAME_REACHABLE,TOPOLOGY_CHANGE
T3,T4,37,h38,BECAME_REACHABLE,TOPOLOGY_CHANGE
T3,T4,40,h41,BECAME_REACHABLE,TOPOLOGY_CHANGE
T3,T4,49,h50,BECAME_REACHABLE,NEW_EXPLOIT
T3,T4,31,h32,BECAME_REACHABLE,TOPOLOGY_CHANGE
T3,T4,64,h65,BECAME_UNREACHABLE,PATCHED
T3,T4,9,h10,BECAME_UNREACHABLE,PATCHED
T3,T4,12,node_12,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T3,T4,50,h51,BECAME_UNREACHABLE,PATCHED
T3,T4,20,h21,BECAME_UNREACHABLE,PATCHED
T3,T4,21,node_21,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T3,T4,53,node_53,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T3,T4,23,node_23,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T3,T4,54,node_54,BECAME_UNREACHABLE,TOPOLOGY_CHANGE
T3,T4,57,h58,BECAME_UNREACHABLE,PATCHED
