rank,node_id,host,greedy_iteration,in_ilp_solution
1,0,h1,30.0,True
2,1,h2,27.0,True
3,2,h3,22.0,True
4,3,h4,31.0,True
5,5,h6,23.0,True
6,6,h7,13.0,True
7,7,h8,19.0,True
8,8,h9,32.0,True
9,9,h10,8.0,True
10,10,h11,21.0,True
11,11,h12,14.0,True
12,12,h13,33.0,True
13,13,h14,25.0,True
14,14,h15,1.0,True
15,15,h16,10.0,True
16,17,h18,26.0,True
17,18,h19,4.0,True
18,20,h21,7.0,True
19,22,h23,2.0,True
20,26,h27,17.0,True
21,27,h28,34.0,True
22,28,h29,16.0,True
23,30,h31,11.0,True
24,34,h35,28.0,True
25,38,h39,5.0,True
26,50,h51,,True
27,59,h60,,True
28,61,h62,15.0,True
29,65,h66,29.0,True
30,68,h69,,True
31,69,h70,,True
