dest_host,severity,cve_id,time_window,cvss_only_score,structural_triage_score,cvss_rank,sts_rank,rank_delta,c_severity,c_betweenness,c_path_critical,c_persistence,c_blind_spot
h90,LOW,CVE-2021-23841,T1,0.25,0.4238,239,225,14,0.25,0.045,1.0,1.0,0.0
h5,CRITICAL,CVE-2020-27239,T1,1.0,0.582,1,30,-29,1.0,0.078,1.0,0.75,0.0
h54,CRITICAL,CVE-2020-16899,T1,1.0,0.601,1,24,-23,1.0,0.154,1.0,0.75,0.0
h3,MEDIUM,CVE-2021-20225,T1,0.5,0.3632,181,250,-69,0.5,0.003,1.0,0.25,0.0
h3,CRITICAL,CVE-2021-20225,T1,1.0,0.4882,1,148,-147,1.0,0.003,1.0,0.25,0.0
h77,HIGH,CVE-2020-8558,T1,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h46,CRITICAL,CVE-2021-3129,T1,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h92,HIGH,CVE-2021-26851,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h92,HIGH,CVE-2021-26851,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h46,HIGH,CVE-2021-3129,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h90,HIGH,CVE-2021-23841,T1,0.75,0.5488,58,65,-7,0.75,0.045,1.0,1.0,0.0
h5,CRITICAL,CVE-2020-27239,T1,1.0,0.582,1,30,-29,1.0,0.078,1.0,0.75,0.0
h13,CRITICAL,CVE-2021-30129,T1,1.0,0.4898,1,143,-142,1.0,0.009,1.0,0.25,0.0
h3,HIGH,CVE-2021-20225,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h91,LOW,CVE-2020-13777,T1,0.25,0.3387,239,258,-19,0.25,0.005,1.0,0.5,0.0
h90,CRITICAL,CVE-2021-23841,T1,1.0,0.6113,1,16,-15,1.0,0.045,1.0,1.0,0.0
h5,CRITICAL,CVE-2020-7961,T1,1.0,0.582,1,30,-29,1.0,0.078,1.0,0.75,0.0
h46,CRITICAL,CVE-2021-3129,T1,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h3,HIGH,CVE-2021-20225,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h13,CRITICAL,CVE-2021-30129,T1,1.0,0.4898,1,143,-142,1.0,0.009,1.0,0.25,0.0
h3,CRITICAL,CVE-2021-32075,T1,1.0,0.4882,1,148,-147,1.0,0.003,1.0,0.25,0.0
h52,CRITICAL,CVE-2021-28169,T1,1.0,0.4875,1,152,-151,1.0,0.0,1.0,0.25,0.0
h70,CRITICAL,CVE-2020-14144,T1,1.0,0.4875,1,152,-151,1.0,0.0,1.0,0.25,0.0
h70,MEDIUM,CVE-2020-15999,T1,0.5,0.3625,181,252,-71,0.5,0.0,1.0,0.25,0.0
h92,HIGH,CVE-2021-26851,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h3,LOW,CVE-2021-20225,T1,0.25,0.3007,239,259,-20,0.25,0.003,1.0,0.25,0.0
h92,MEDIUM,CVE-2021-26851,T1,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h5,CRITICAL,CVE-2020-7961,T2,1.0,0.582,1,30,-29,1.0,0.078,1.0,0.75,0.0
h17,HIGH,CVE-2021-26852,T2,0.75,0.5385,58,83,-25,0.75,0.304,1.0,0.5,0.0
h54,MEDIUM,CVE-2020-16899,T2,0.5,0.476,181,168,13,0.5,0.154,1.0,0.75,0.0
h1,HIGH,CVE-2021-20294,T2,0.75,0.5025,58,112,-54,0.75,0.01,1.0,0.75,0.0
h14,CRITICAL,CVE-2021-27065,T2,1.0,0.4935,1,140,-139,1.0,0.024,1.0,0.25,0.0
h32,MEDIUM,CVE-2021-30129,T2,0.5,0.4,181,236,-55,0.5,0.0,1.0,0.5,0.0
h14,MEDIUM,CVE-2021-27065,T2,0.5,0.3685,181,249,-68,0.5,0.024,1.0,0.25,0.0
h98,HIGH,CVE-2021-26851,T2,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h34,HIGH,CVE-2021-30129,T2,0.75,0.5235,58,100,-42,0.75,0.094,1.0,0.75,0.0
h5,HIGH,CVE-2020-7961,T2,0.75,0.5195,58,101,-43,0.75,0.078,1.0,0.75,0.0
h42,HIGH,CVE-2021-24497,T2,0.75,0.425,58,219,-161,0.75,0.0,1.0,0.25,0.0
h49,HIGH,CVE-2020-8554,T3,0.75,0.5375,58,89,-31,0.75,0.0,1.0,1.0,0.0
h85,MEDIUM,CVE-2021-28850,T3,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h37,CRITICAL,CVE-2021-3130,T3,1.0,0.6055,1,19,-18,1.0,0.022,1.0,1.0,0.0
h20,CRITICAL,CVE-2021-23841,T3,1.0,0.64,1,12,-11,1.0,0.31,1.0,0.75,0.0
h37,HIGH,CVE-2021-3130,T3,0.75,0.543,58,71,-13,0.75,0.022,1.0,1.0,0.0
h20,MEDIUM,CVE-2021-23841,T3,0.5,0.515,181,105,76,0.5,0.31,1.0,0.75,0.0
h37,MEDIUM,CVE-2021-3130,T3,0.5,0.4805,181,157,24,0.5,0.022,1.0,1.0,0.0
h20,HIGH,CVE-2021-23841,T3,0.75,0.5775,58,37,21,0.75,0.31,1.0,0.75,0.0
h61,CRITICAL,CVE-2020-16898,T3,1.0,0.6133,1,15,-14,1.0,0.053,1.0,1.0,0.0
h49,HIGH,CVE-2020-16898,T3,0.75,0.5375,58,89,-31,0.75,0.0,1.0,1.0,0.0
h49,HIGH,CVE-2020-16898,T3,0.75,0.5375,58,89,-31,0.75,0.0,1.0,1.0,0.0
h49,MEDIUM,CVE-2020-16898,T3,0.5,0.475,181,170,11,0.5,0.0,1.0,1.0,0.0
h49,CRITICAL,CVE-2020-16898,T3,1.0,0.6,1,27,-26,1.0,0.0,1.0,1.0,0.0
h60,MEDIUM,CVE-2021-24514,T3,0.5,0.508,181,108,73,0.5,0.132,1.0,1.0,0.0
h37,MEDIUM,CVE-2021-3130,T3,0.5,0.4805,181,157,24,0.5,0.022,1.0,1.0,0.0
h20,MEDIUM,CVE-2021-23841,T3,0.5,0.515,181,105,76,0.5,0.31,1.0,0.75,0.0
h37,LOW,CVE-2021-3130,T3,0.25,0.418,239,228,11,0.25,0.022,1.0,1.0,0.0
h20,HIGH,CVE-2021-23841,T3,0.75,0.5775,58,37,21,0.75,0.31,1.0,0.75,0.0
h10,LOW,CVE-2021-28851,T3,0.25,0.3577,239,256,-17,0.25,0.081,1.0,0.5,0.0
h19,HIGH,CVE-2020-5411,T3,0.75,0.5428,58,76,-18,0.75,0.321,1.0,0.5,0.0
h43,MEDIUM,CVE-2021-1234,T4,0.5,0.4441,181,192,-11,0.5,0.026,1.0,0.75,0.0
h21,HIGH,CVE-2020-11989,T4,0.75,0.7069,58,3,55,0.75,0.978,1.0,0.5,0.0
h50,HIGH,CVE-2021-24515,T4,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h33,CRITICAL,CVE-2021-23841,T4,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h43,HIGH,CVE-2021-1234,T4,0.75,0.5066,58,109,-51,0.75,0.026,1.0,0.75,0.0
h2,HIGH,CVE-2020-16000,T4,0.75,0.5549,58,59,-1,0.75,0.07,1.0,1.0,0.0
h49,HIGH,CVE-2020-16898,T4,0.75,0.5375,58,89,-31,0.75,0.0,1.0,1.0,0.0
h65,MEDIUM,CVE-2021-28851,T4,0.5,0.4965,181,137,44,0.5,0.086,1.0,1.0,0.0
h2,HIGH,CVE-2021-26858,T4,0.75,0.5549,58,59,-1,0.75,0.07,1.0,1.0,0.0
h82,HIGH,CVE-2021-20295,T4,0.75,0.4631,58,174,-116,0.75,0.002,1.0,0.5,0.0
h21,HIGH,CVE-2020-11989,T4,0.75,0.7069,58,3,55,0.75,0.978,1.0,0.5,0.0
h50,CRITICAL,CVE-2021-24515,T4,1.0,0.525,1,97,-96,1.0,0.0,1.0,0.5,0.0
h71,CRITICAL,CVE-2020-16899,T4,1.0,0.6012,1,23,-22,1.0,0.005,1.0,1.0,0.0
h43,MEDIUM,CVE-2021-1234,T4,0.5,0.4441,181,192,-11,0.5,0.026,1.0,0.75,0.0
h2,LOW,CVE-2020-16000,T4,0.25,0.4299,239,207,32,0.25,0.07,1.0,1.0,0.0
h85,HIGH,CVE-2021-28850,T4,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h71,MEDIUM,CVE-2020-16899,T4,0.5,0.4762,181,164,17,0.5,0.005,1.0,1.0,0.0
