Nodes,Closeness Centrality,Betweenness Centrality,Temporal Path Length,Temporal Path Efficiency
1,0.03610000000000002,0.004761904761904762,,
15,0.00039999999999995595,0.004761904761904762,,
19,0.00039999999999995595,0.002380952380952381,,
2,0.07179999999999997,0.002380952380952381,,
3,0.07179999999999997,0.002380952380952381,,
8,0.04800000000000004,0.002380952380952381,,
7,0.0242,0.002380952380952381,,
17,0.00039999999999995595,0.002380952380952381,,
18,0.00039999999999995595,0.002380952380952381,,
5,0.17889999999999995,0.0,3.792207792207792,0.29166666666666663
6,0.00039999999999995595,0.0,,
14,0.00039999999999995595,0.0,,
16,0.00039999999999995595,0.0,,
11,0.00039999999999995595,0.0,,
0,0.00039999999999995595,0.0,,
20,0.00039999999999995595,0.0,,
4,0.1432,0.0,,
12,0.012299999999999978,0.0,,
13,0.0242,0.0,,
9,0.07179999999999997,0.0,,
10,0.09560000000000002,0.0,,
21,0.00039999999999995595,0.0,,
